Species_David,Sub,CA1,CA2,CA3,Hilus,FD,Body_Size,HippocampusTotal,Fibers,retroHP,Medulla,EC,Nocturnality,Species_1981,BrainMass,BrainVol,HPvol,Source,MSW93_Order,MSW93_Family,MSW93_Genus,MSW93_Species,MSW93_Binomial,ActivityCycle,AdultBodyMass_g,AdultForearmLen_mm,AdultHeadBodyLen_mm,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLO2hr,BasalMetRateMass_g,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km2,HomeRange_Indiv_km2,InterBirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,NeonateBodyMass_g,NeonateHeadBodyLen_mm,PopulationDensity_n_km2,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,WeaningBodyMass_g,WeaningHeadBodyLen_mm,References,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km2,GR_MaxLat_dd,GR_MinLat_dd,GR_MRLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MRLong_dd,HuPopDen_Min_n/km2,HuPopDen_Mean_n/km2,HuPopDen_5p_n/km2,HuPopDen_Change,Precip_Mean_mm,Temp_Mean_01degC,AET_Mean_mm,PET_Mean_mm,ATWP_DR,ATWP_perForaging,ATWP_GroupSize,ATWP_HR,ATWP_HR_km2,ATWP_perTravel,GroupSize_filled,Home_Range,Population_Density,Genus,Clade,retroHP.EC,DG,CA2.3,Body__Brain,Brain__HP,Brain__EC,Brain__Fib,retroHP__DG,retroHP__FD,retroHP__Hil,retroHP__CA2.3,retroHP__CA3,retroHP__CA2,retroHP__CA1,retroHP__Sub,Home_Range_res,Residual_HomeRange,retroHP_res,retroHP_res_res,BrainVol_res,EC_res,Fibers_res,DG_res,FD_res,Hilus_res,CA2.3_res,CA3_res,CA2_res,CA1_res,Sub_res,PC1,PC1_res,CA3_res_res,PC2,PC2_res,PC3,PC4
Perodicticus_potto,48.35,197.36,16.3,139.69,26.62,100,1150,607.01,78.69,528.32,680,328,nocturnal,Perodicticus potto,14,13510,610,2,Primates,Loridae,Perodicticus,potto,Perodicticus potto,1,1080,NA,320,NA,750.07,347.82,964,4,NA,192.99,1,0.11,0.1,354.05,1,NA,312,37.2,NA,5.14163712366042,NA,489.13,1,NA,2,2,148.18,NA,NA,208;223;543;730;732;904;1297;1544;1547;1822;1848;2151;2344;2489;2493;2511;2655;2660;2986,NA,1.13,NA,NA,4965958,14.74,-11.2,1.77,38.63,-17.52,10.55,0,51.09,1,0.12,139,243.76,1255.85,1545.51,2497,NA,2,28,0.28,NA,2.3822842325883,5.31722237809955,7.14285714285714,Perodicticus,Strepsirrhines,856.32,126.62,155.99,1136,12981.68,13182,13431.31,401.7,428.32,501.7,372.33,388.63,512.02,330.96,479.97,1.77804970970052,0.254949244544445,1.73542026832239,1.77737672180676,1.21168823695558,1.57820770632734,1.32661558622773,1.48835116427992,1.54402414049462,1.2055844803586,1.57061425068255,1.59380665208294,1.3689890779531,1.5407629584381,1.64107531030161,1.41989401749417,1.38254619031969,1.66436929048008,1.6223523951279,1.54536054417047,1.57151200827481,1.86889685728531
Gorilla_gorilla_gorilla,191.7,1405.57,130.65,951.51,210.02,415.98,105000,4780.48,1475.05,3305.43,7509,2729,diurnal,Gorilla gorilla,500,482630,4780,2,Primates,Hominidae,Gorilla,gorilla,Gorilla gorilla,3,114000,NA,1596.87,NA,3650,NA,NA,3,5140.2,256.99,1,4.11,NA,1430.8,1,NA,648,2100,NA,1.97225852717624,10,2828.74,6,NA,1,2,929.63,19000,NA,208;543;557;730;899;904;931;1167;1259;1297;1529;1544;1547;1577;1611;1763;1767;1848;2344;2489;2493;2655;2660;2878;2986;3086,NA,0.55,NA,NA,733663,7.82,-6.05,0.88,30.29,8.69,19.49,0,27.92,1,0.08,147.33,235.86,1316.69,1507.45,1547,60.8,11,14.675,0.14675,12.35,5.78191778015977,4.68490044768399,74.9574105621806,Gorilla,Apes,6034.43,626,1082.16,104500,479324.57,479901,481154.95,2679.43,2889.45,3095.41,2223.27,2353.92,3174.78,1899.86,3113.73,1.24457055839856,-0.630326031722087,1.31200362001226,1.38075496961527,1.37205799451462,1.73135932377223,1.69538782169768,1.18057699312674,1.1805206594493,1.25439764914027,1.83985964126076,1.77283792292353,1.6576472990895,1.91157747096967,1,1.27222311092449,1.42559055711643,1.70028653244699,1.5409014424486,1.48354815266956,1,1.32361651501016
Homo_sapiens,821.76,2793.05,229.52,2357.63,397.17,834.47,65000,10287.38,2853.78,7433.6,9622,6142,diurnal,Homo sapiens,1330,1283780,10290,2,Primates,Hominidae,Homo,sapiens,Homo sapiens,3,58700,NA,NA,NA,5292.5,NA,NA,NA,NA,274.78,NA,NA,NA,958.12,1,NA,1470,3190,NA,NA,NA,4842.27,NA,NA,NA,NA,721.15,9000,NA,543;1297;1544;1547;1577;1594;1611;1763;1767;2344;2493,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,26,175,1.75,NA,7.49734370861824,7.11083749636829,14.8571428571429,Homo,Homo sapiens,13575.6,1231.64,2587.15,63670,1276346.4,1277638,1280926.22,6201.96,6599.13,7036.43,4846.45,5075.97,7204.08,4640.55,6611.84,1.54459618848276,-0.132452268686329,1.83074349457617,1.88556757299345,2,1.66899063373338,1.54693510894261,1,1.13439406569249,1,2,2,1.42171196029279,1.44625374625474,1.91589995905364,1.24528596986242,1.11727221768177,2,2,1.74469617549075,1.57489318214507,1.77453303494154
Hylobates_lar,139.39,866.51,76.73,547,226.25,372.03,5700,2672.56,444.65,2227.91,2251,1136,diurnal,Hylobates lar,102,98460,2670,2,Primates,Hylobatidae,Hylobates,lar,Hylobates lar,3,5630,NA,545,NA,3398.15,NA,NA,4,NA,212.91,NA,0.33,0.32,983.67,1,NA,480,399,NA,4.83727902285289,NA,3341.27,3.2,NA,NA,2,721.15,1030,NA,208;526;543;610;730;954;1167;1297;1544;1547;1577;1763;1767;1848;2344;2453;2489;2493;2655;2660;2700;2986,NA,0.67,NA,NA,425652,25.5,1.87,13.68,103.77,95.49,99.63,3,90.44,10,0.08,172.74,229.63,1278.1,1612.26,1550,37.6666666666667,4.38,33.6666666666667,0.336666666666667,39.5,3.94555214209678,5.49760722946551,13.009900990099,Hylobates,Apes,3363.91,598.28,623.73,5598,96232.09,97324,98015.35,1629.63,1855.88,2001.66,1604.18,1680.91,2151.18,1361.4,2088.52,1.63603955576615,0.0192922784754157,2,2,1.60979867752297,1.26156619065674,1.41071335139209,1.81371512298608,1.57101852816424,1.77619200475045,1.47776490304932,1.40854772533063,1.50917525935927,1.61469068189885,1.10504679909578,1.48245945329313,1.33944227815135,1.54984292952998,1.0782209322734,1.20149609227984,1.48007870591645,1.49306635885356
Pan_troglodytes_troglodytes,266.58,1166.33,85.7,622.88,235.43,386.54,46000,3778.69,1015.23,2763.46,5817,2018,diurnal,Pan troglodytes,405,390930,3780,2,Primates,Hominidae,Pan,troglodytes,Pan troglodytes,3,45100,NA,797.56,0,5073.5,9000,34150,6,NA,231.49,2,11,8.72,1825,1.02,NA,720,1750,NA,3.18524175153895,45,3309.15,50,2,2,2,1670.46,8500,NA,208;543;730;899;904;1297;1527;1529;1544;1547;1577;1594;1611;1763;1767;1848;2344;2463;2489;2493;2620;2655;2660;2878;2986,NA,0.49,NA,NA,1898948,13.13,-8.72,2.2,31.18,-15.55,7.81,0,34.36,1,0.11,149.72,241.68,1297.08,1558.05,2225,40.4,52.433,17.3,0.173,14.44,8.89616485718488,4.84596250515342,303.080924855491,Pan,Apes,4781.46,621.97,708.58,45595,388166.54,388912,389914.77,2141.49,2376.92,2528.03,2054.88,2140.58,2677.76,1597.13,2496.88,1.34852545308203,-0.457819387581326,1.37135631806303,1.45232209210728,1.55237666945361,1.61782929384064,1.63831561962729,1.48656257511126,1.31897320581506,1.57138202491032,1.29163171484631,1.2160025388529,1.4067278424711,1.89214012599992,1.71747284085293,1.73554645183684,1.91389050483537,1.19593515498514,1.54955446451823,1.95281333269978,1.51964184783892,1.45939042292988
Callicebus_moloch,42.71,174.88,22.9,129.11,37.33,79.44,900,588.29,101.92,486.37,787,234,diurnal,Callicebus moloch,19,18340,590,2,Primates,Cebidae,Callicebus,moloch,Callicebus moloch,3,965,NA,358.65,NA,1095,NA,NA,3,NA,163.99,1,0.02,0.02,365,1.02,NA,303.6,74.4,125,6.05376480357725,NA,1095,2.95,NA,2,2,58.47,NA,NA,208;543;730;890;1297;1512;1547;1605;1768;1848;2151;2344;2464;2489;2493;2520;2655;2660;2986,NA,1.11,NA,NA,911443,-1.3,-14.1,-7.7,-48.19,-58.29,-53.24,0,2.4,0,0.13,174.03,246.08,1330.45,1530.29,NA,NA,NA,NA,NA,NA,3.15735167313484,2.73427956327144,147.5,Callicebus,New World Monkeys,720.37,116.77,152.01,881,17853.63,18106,18238.08,369.6,406.93,449.04,334.36,357.26,463.47,311.49,443.66,1.40208669604461,-0.36893785576297,1.53371859335037,1.60948757784545,1.44138826375119,1.31984360108345,1.57448077423786,1.48581685232812,1.28535382049326,1.63744171848309,1.69837179904972,1.60392425729263,1.79991631653567,1.41863942005014,1.58191234235005,1.3650911866953,1.4170131224526,1.62388683859819,1.46390820589892,1.87928017963156,1.73047050028496,1.26930934881621
Pithecia_monachus,41.63,259.52,31.78,154.43,56.38,102.44,1500,834.26,188.08,646.18,1009,289,diurnal,Pithecia monachal,35,33780,830,2,Primates,Cebidae,Pithecia,monachus,Pithecia monachus,3,2110,NA,412.43,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,1.02,NA,295.2,120,NA,5.06552637012645,NA,NA,2.5,NA,2,2,NA,NA,NA,208;497;543;730;905;1544;1547;1611;1848;2151;2251;2344;2464;2655;2986,NA,NA,NA,NA,2272019,1.47,-14.05,-6.29,-55.26,-77.85,-66.56,0,2.44,0,0.16,193.57,254.89,1427.32,1537.82,NA,NA,3.9,9.7,0.097,NA,3.71407932266562,4.27968430114813,40.2061855670103,Pithecia,New World Monkeys,935.18,158.82,186.21,1465,33133.82,33491,33591.92,487.36,543.74,589.8,459.97,491.75,614.4,386.66,604.55,1.62032961270039,-0.00677738920275628,1.57539338063546,1.65302509702179,1.55770822004874,1.22187477227643,1.74337920293221,1.55136574410557,1.28310567013926,1.74109553428082,1.51990652173465,1.36197008224027,1.85055182824416,1.77868872389293,1.14533752791637,1.49449988494912,1.54805983394328,1.40817227946667,1.22546246625232,1.51359820369353,1.42272505297896,1
Lophocebus_albigena,73.47,395.87,38.15,304.2,69.9,156.25,7900,1464.21,426.37,1037.84,2708,630,diurnal,Cercocebus albigena,104,100390,1490,2,Primates,Cercopithecidae,Lophocebus,albigena,Lophocebus albigena,3,7360,NA,517.94,NA,1474.6,NA,NA,3,NA,182.93,1,0.81,0.4,770.15,1,NA,392.4,499,NA,5.80342790673568,17.2,2190,16,NA,2,2,210.33,2170,NA,208;543;730;904;1297;1347;1544;1547;1611;1763;1767;1848;1979;2151;2344;2463;2489;2493;2655;2660;2878;2986,NA,0.76,NA,NA,2651747,6.46,-6.26,0.09,33.29,7.92,20.61,0,24.54,1,0.11,144.63,240.89,1383.31,1571.17,1095.16666666667,47.06,13.8222222222222,202.428571428571,2.02428571428571,23.72,6.23736115907018,7.2533426833612,6.82819728691288,Lophocebus,Old World Monkeys,1667.84,226.15,342.35,7796,99352.16,99760,99963.63,811.69,881.59,967.94,695.49,733.64,999.69,641.97,964.37,1.76999720944835,0.241586624153418,1.14790111901035,1.19340874052231,1.50729280616581,1.50222210007599,1.82558612135624,1.35593845812391,1.27684978745392,1.42885639588602,1.8373176708731,1.82915749656047,1.56064725230631,1.58156195998837,1.27724410643897,1.23125671017422,1.47947791378723,1.69033050843156,1.479230670319,1.63344903771893,1.37192467926615,1.39157570956151
Papio_anubis,156.72,800.97,66.37,564.35,178.36,312.25,25000,3397.9,1318.88,2079.02,5297,1309,diurnal,Papio anubis,201,194020,3400,2,Primates,Cercopithecidae,Papio,hamadryas,Papio hamadryas,3,16900,NA,675,NA,1642.5,NA,NA,2,NA,178.05,NA,9.3,NA,684.37,1,NA,540,855,NA,4.2130747698052,46.1,1411.75,43.5,NA,NA,1,450.71,3290,NA,208;543;730;850;930;1297;1347;1544;1547;1577;1594;1763;1767;1768;1848;1979;2151;2344;2493;2655;2660;2986;3086,NA,0.81,NA,NA,12748342,21.89,-34.83,-6.47,47.31,-16.79,15.25,0,33.38,1,0.14,82.21,226.44,866.73,1501.01,3384.25,36.5857142857143,39.275,1752.85714285714,17.5285714285714,26.54,8.31994057476396,9.36605914897768,2.24062754686227,Papio,Old World Monkeys,3388.02,490.61,630.72,24799,191940.98,192711,192701.12,1588.41,1766.77,1900.66,1448.3,1514.67,2012.65,1278.05,1922.3,1.80737098762878,0.303606070879794,1.19490691160196,1.24807088628734,1.42761739313125,1.48602561482366,1.99484912264673,1.55628134029411,1.38677377259486,1.60699715984129,1.65582851942165,1.63947868487325,1.43058192675776,1.58540542189402,1.3658517350162,1.34532987454044,1.5963192813001,1.554751499009,1.3684787003128,1.65594415921095,1.48340415095233,1.38676252175281
Nasalis_larvatus,113.27,546.36,69.39,370.1,142.29,205.69,14000,1965.93,518.83,1447.1,2945,855,diurnal,Nasalis larvatus,97,93630,1970,2,Primates,Cercopithecidae,Nasalis,larvatus,Nasalis larvatus,3,12300,NA,647.49,NA,1642.5,NA,NA,4,NA,165.1,2,1.42,NA,547.5,1,NA,252,450,NA,5.205274776572,14.5,1642.5,11.25,NA,2,1,210.37,2000,NA,208;543;730;741;899;1297;1347;1544;1547;1577;1767;1768;1848;2151;2344;2493;2655;2660;2986;3101,NA,0.9,NA,NA,574820,7.03,-4.18,1.42,119.26,108.83,114.05,2,29.73,4,0.18,257.08,250.21,1684.01,1720.98,731,NA,13.6416666666667,391.45,3.9145,NA,6.2111396930972,7.89879100085754,3.48490654404564,Nasalis,Old World Monkeys,2302.1,347.98,439.49,13903,92182.9,92775,93111.17,1099.12,1241.41,1304.81,1007.61,1077,1377.71,900.74,1333.83,1.76341826796864,0.230669282357067,1.37611883778104,1.44541052083807,1.27943304625988,1.44822850256087,1.73081143953294,1.56660101180217,1.23870399320838,1.78529658535002,1.65194768558563,1.50602788125524,1.84019805015633,1.53288506261012,1.41886835153733,1.39464493187927,1.54176304321885,1.49347730900766,1.36747098568657,1.86587035548977,1.60614194958472,1.09670826841516
Piliocolobus_badius,129.2,615.79,38.44,323.72,156.77,185.28,7000,1670.84,221.64,1449.2,2007,814,diurnal,Colobus badius,78,75290,1670,2,Primates,Cercopithecidae,Procolobus,badius,Procolobus badius,2,8430,NA,574.45,NA,1489.2,NA,NA,3,NA,151.46,1,0.43,0.49,660.65,1,0.5,NA,NA,NA,8.39168572525811,33.6,1277.49,34,NA,2,2,778.84,NA,NA,208;730;741;1015;1297;1347;1544;1547;1848;2151;2344;2463;2493;2655;2660,NA,NA,NA,NA,590235,15.04,4.35,9.69,0.68,-16.82,-8.07,3,68.84,7,0.09,161.46,260.82,1122.36,1554.69,919.5,31.9,13.5,60,0.6,12.1333333333333,6.19032178938344,6.06315697725971,22.5,Piliocolobus,Old World Monkeys,2263.2,342.05,362.16,6922,73840.8,74476,75068.36,1107.15,1263.92,1292.43,1087.04,1125.48,1410.76,833.41,1320,1.67423935505026,0.0826824555461285,1.71012815474675,1.76558110395095,1.41182614020008,1.39556919005119,1.28100560970038,1.53092537361501,1.07034889850242,1.88600063767343,1.22586712650613,1.20353222171681,1.23569023001034,1.94440019684488,1.60396176291986,1.90122670843805,1.88750859401675,1.26965246423445,1.37214243251865,1.98579658781183,1.46462280237669,1.53001459439574
Pygathrix_nemaeus,117.14,786.6,44.48,420.73,227.64,253.07,7500,2295.41,445.75,1849.66,2206,723,diurnal,Pygathrix nemaeus,77,74320,2300,2,Primates,Cercopithecidae,Pygathrix,nemaeus,Pygathrix nemaeus,3,9550,NA,610,NA,NA,NA,NA,2,NA,183,NA,2.5,NA,430.7,1,NA,300,192,NA,NA,9.3,NA,9.3,NA,NA,1,NA,NA,NA,208;543;741;899;1297;1347;1544;1547;1848;2344;2493;2655;2660,NA,1.02,NA,NA,267475,19.55,10.59,15.07,109.46,102.98,106.22,2,130.59,5,0.13,173.51,235.98,1189.22,1468.29,NA,30,15.5,NA,NA,5,6.46582321240662,7.45992842870135,6.2,Pygathrix,Old World Monkeys,2572.66,480.71,465.21,7423,72470.34,73597,73874.25,1368.95,1596.59,1622.02,1384.45,1428.93,1805.18,1063.06,1732.52,1.79218297965977,0.278402521841575,1.84903981179603,1.87715918939054,1.38216008825393,1,1.57931482053377,1.73548262070974,1.21792786760448,2,1.24368376190164,1.24055804175546,1.14147855789866,1.93688585418556,1.12188483389825,1.80705797031261,1.7379207053379,1.34273128200245,1,1.23328161321465,1.3436984587827,1.42502323499349
Galago_senegalensis,23.14,99.58,5.96,52.43,13.48,50.72,186,260.78,15.47,245.31,254,107,nocturnal,Galago senegalensis,4.8,4630,260,2,Primates,Galagonidae,Galago,senegalensis,Galago senegalensis,1,216,NA,160,NA,511,167.6,223.25,3,NA,127.15,NA,0.08,0.08,219,1.52,2,204,11.5,NA,7.94253081287617,NA,287.86,3.5,NA,NA,2,96.46,122,NA,208;223;543;730;1167;1297;1544;1547;1611;1822;1848;2344;2489;2493;2655;2660;2986,NA,NA,NA,NA,8867497,17.84,-13.94,1.95,46.5,-17.53,14.48,0,42.66,1,0.12,80.08,249.92,836.61,1594.8,NA,NA,2.75,NA,NA,NA,3.01734931498316,4.09109702195596,34.375,Galago,Strepsirrhines,352.31,64.2,58.39,181.2,4384.69,4523,4614.53,181.11,194.59,231.83,186.92,192.88,239.35,145.73,222.17,1.80458519678379,0.298983225256106,1.89511084716158,1.9101750858841,1.32599131775672,1.27135855902927,1,1.60525852948949,1.56880054898445,1.36841207861903,1.09282526194301,1.12746956106548,1.11213982059082,1.85776308864912,1.68428793235581,1.87053348888513,1.7761159819175,1.22019912301442,1.45127168690101,1.49385983069663,1.56838531646091,2
Galagoides_demidoff,13.4,53.7,3.08,28.64,7,24.66,81,152.24,21.76,130.48,169,59.9,nocturnal,Galago demidovii,3.38,3260,150,2,Primates,Galagonidae,Galagoides,demidoff,Galagoides demidoff,1,67.1,NA,120,NA,359.52,63.2,63.8,4,NA,110.99,NA,0.01,0.0096,365,1.5,1.5,168,9.9,NA,7.42411961592301,NA,305.87,1,NA,NA,2,43.47,NA,NA,208;223;543;730;732;1297;1544;1547;1768;1822;1848;2344;2489;2493;2655;2660;2986,NA,NA,NA,NA,5029007,9.93,-12.14,-1.1,39.86,-13.5,13.17,0,41.04,1,0.13,136.05,241.39,1253.98,1539.76,NA,NA,2,0.65,0.0065,NA,2.3822842325883,1.63424769395975,307.692307692308,Galagoides,Strepsirrhines,190.38,31.66,31.72,77.62,3129.52,3200.1,3238.24,98.82,105.82,123.48,98.76,101.84,127.4,76.78,117.08,1.3357995925127,-0.478937157045695,1.67695363972548,1.73876135064074,1.44649957572244,1.37369251153119,1.56859927988722,1.41245334057308,1.31237795488655,1.40749881269959,1.12573260458121,1.19234846991453,1.0706553865642,1.93347310239351,1.80692753755297,1.85305091552527,1.86016938028059,1.24891907651273,1.58078500938002,1.78585933620318,1.52668469489749,1.73542391048976
Otolemur_crassicaudatus,42.22,164.58,9.6,78.22,28.14,64.69,850,460.88,73.43,387.45,540,181,nocturnal,Galago crassicaudatus,10.3,9940,460,2,Primates,Galagonidae,Otolemur,crassicaudatus,Otolemur crassicaudatus,1,1250,NA,307,NA,799.35,457.15,977,5,NA,131.04,NA,0.06,0.06,365,1.42,NA,225.6,46.7,NA,7.91732772774107,NA,512.93,3.5,NA,NA,2,130.27,500,NA,208;223;543;730;732;868;1297;1544;1547;1822;1848;2344;2493;2655;2660;2986,NA,1.11,NA,NA,4857986,1.05,-30.48,-14.71,40.84,12.18,26.51,0,31.23,2,0.18,87.85,218.93,916.18,1470.84,NA,26,NA,NA,NA,49,3.49827821145109,3.80953195944081,58.3333333333333,Otolemur,Strepsirrhines,568.45,92.83,87.82,839.7,9552.55,9759,9866.57,294.62,322.76,359.31,299.63,309.23,377.85,222.87,345.23,1.60772539315482,-0.0276933029982591,1.65461132101589,1.7062408754613,1.16899887580042,1.30698797289524,1.54472737791002,1.46565885312909,1.28422687333731,1.60376230299707,1,1,1.140925445859,2,1.89373474528804,2,2,1,1.51665592739589,1.93483922275821,1.61598848705868,1.59950771610189
Tarsius_bancanus,10.76,51.39,7.03,32.09,5.87,22.74,125,152.66,22.78,129.88,207,69,nocturnal,Tarsius sp.,3.6,3470,150,2,Primates,Tarsiidae,Tarsius,bancanus,Tarsius bancanus,1,114,NA,106.59,NA,919.8,NA,NA,3,NA,125.88,1,0.01,0.01,240.29,1,NA,144,24,NA,7.49891489611516,NA,638.1,1,NA,2,2,78.04,NA,NA,223;511;543;1297;1544;1547;1767;1768;1848;2137;2151;2344;2493;2655;2973;2986,NA,1.38,NA,NA,848020,7.03,-5.9,0.56,119.26,102.6,110.93,1,39.48,4,0.17,256.39,246.61,1702.76,1734.7,930.71,34.55,2,3.30909090909091,0.0330909090909091,26.5,2.3822842325883,3.22709935882621,60.4395604395604,Tarsius,Tarsiiformes,198.88,28.61,39.12,121.4,3340.12,3401,3447.22,101.27,107.14,124.01,90.76,97.79,122.85,78.49,119.12,1.70187824876685,0.128547470534884,1.49681366684933,1.5690961318068,1.32513288026575,1.52573431953665,1.56615396733824,1.22812124318147,1.18369705019956,1.23807223086631,1.59093509490544,1.45474145321245,1.91841513144127,1.79600567929737,1.4984257981551,1.45558737919031,1.54530767378546,1.4790143688331,1.69869118889083,1.72547754471478,1.41523514356809,1.17928714260167
